Sample in Buffer,Sample in Window,TRIGGER,g_ila.axis_ila_wrapper_1/data_out_12b[0][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][3][11:0],g_ila.axis_ila_wrapper_1/rx_sync
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
39,39,0,44f,445,b16,c30,d02,86f,307,6ce,8c4,319,673,ca8,acb,c5d,5e4,344,c8c,62e,32b,912,312,8b1,cfa,80b,c52,ad5,412,47f,623,c81,a94,3e0,0
40,40,0,58f,36a,9ba,cd2,cc6,9ef,37f,55c,a3d,3af,514,bd5,95e,ce8,75f,2f2,cfb,7b7,2fe,77f,2f5,71f,cd8,98d,b5b,bf0,53a,38b,4cc,b9c,bc8,4fa,0
41,41,0,706,302,831,d01,c13,b3d,46f,42c,b86,4b5,3eb,aa8,7d8,cf2,8ee,322,cf8,948,345,5fd,35a,5a8,c3d,af7,a0e,cb7,6a5,30a,3bc,a63,c9a,654,0
42,42,0,88a,30f,6a6,cb4,af3,c48,5ab,360,c78,600,335,93b,649,c95,a5e,3c4,c76,ab3,3fa,4a9,429,467,b3b,c10,888,cff,832,2fa,327,8e7,d03,7e0,0
43,43,0,a08,395,539,bf9,994,ce3,724,2fa,ceb,78c,2fb,7ae,4f1,bbd,b9d,4c8,b83,bdd,516,3ae,559,37e,9e8,cbe,6fa,ccf,9b5,36d,2fc,75c,ceb,966,0
44,44,0,b5d,487,415,adb,80f,cf8,8b5,315,cf8,90a,328,626,3d8,a8a,c7f,624,a3d,ca8,677,31f,6c7,300,862,d02,581,c26,b14,441,353,5de,c5d,ad7,0
45,45,0,c54,5d0,34c,96c,67d,cac,a31,3a1,c83,a7e,3d8,4d5,326,91b,cf2,7a9,8c4,d06,806,301,859,301,6dc,cc3,448,b1e,c2a,57a,40e,498,b68,bf3,0
46,46,0,cdf,746,2f4,7e6,51b,be7,b78,4a7,b9d,bb9,4e8,3c3,2f4,789,cf1,938,737,cdf,98e,363,9de,37e,564,c18,368,9c9,cce,6e9,531,395,a19,cb8,0
47,47,0,cfc,8de,323,662,3fd,abc,c6b,5f5,a63,c91,64b,320,331,604,c75,aa8,5b3,c50,ae8,429,b35,45a,42d,afc,2ff,840,cff,877,6a7,314,8a0,d02,0
48,48,0,ca1,a58,3b7,4ff,340,948,cf5,76f,8ef,cf9,7cf,2f8,3ed,4bb,b8b,bd2,47c,b4c,c04,551,c38,59a,360,99d,30a,6ae,cc0,9fb,82d,303,714,cda,0
49,49,0,bcc,b93,4bf,3e4,2f2,7bd,d00,8ff,75f,ce8,950,342,508,3b3,a46,ca3,388,9f9,cbf,6c3,cd8,713,2fc,81b,385,542,c04,b48,9b3,365,599,c33,0
50,50,0,a9c,c7c,611,330,32a,63a,c8c,a75,5db,c63,ac3,404,66d,317,8cf,cfb,30e,874,d07,84b,d03,8a0,311,692,479,419,ae5,c4b,b0e,442,466,b35,0
51,51,0,92d,cf3,793,2f5,3cb,4e5,baf,baf,498,b71,be9,521,7f4,2fd,738,ce0,305,6e6,ccc,9d6,cad,a22,397,523,5b9,34f,97c,cdf,c1e,56f,377,9d7,0
52,52,0,799,cf3,924,337,4d4,3d2,a78,c8c,39e,a2a,cad,689,982,355,5c0,c54,37d,578,c25,b28,bee,b69,48e,402,737,2f9,7f2,cfa,ccf,6e5,306,858,0
