Sample in Buffer,Sample in Window,TRIGGER,g_ila.axis_ila_wrapper_1/data_out_12b[0][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][3][11:0],g_ila.axis_ila_wrapper_1/rx_sync
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3527,3527,0,bb7,4ec,3cb,a72,78d,cf1,92f,33f,cda,981,355,5be,3a3,a18,cb3,693,9ca,cd1,6f2,305,741,2f9,7ee,cf8,518,bdd,b6b,4a1,37a,56d,c1a,b3a,0
3528,3528,0,c8f,647,327,8f9,60d,c76,a9f,3ec,c46,aeb,422,477,30a,899,d03,81f,84b,d09,884,30d,8c8,321,661,c97,3f9,abb,c61,5e3,465,442,b0d,c40,0
3529,3529,0,cfa,7c7,2f3,76c,4ba,b8b,bcd,503,b4a,c0c,54f,386,301,711,cd2,9a8,6c3,cc7,9ff,392,a49,3b8,501,bcb,340,951,ce9,765,598,364,9ac,cda,0
3530,3530,0,cea,94d,345,5eb,3b3,a43,ca0,65d,9f2,cbc,6bf,30a,368,593,c34,b09,54b,c05,b4c,480,b89,4b7,3e9,a9b,2f3,7c4,cfa,8f4,710,302,829,d02,0
3531,3531,0,c67,ac1,3ff,4aa,322,8d6,cf8,7ed,875,d04,84a,2fc,440,457,b2f,c22,423,af0,c52,5c0,c73,60d,337,932,327,63b,c84,a6c,8a6,313,69a,cb3,0
3532,3532,0,b6d,be4,528,39d,2ff,747,ce6,976,6f1,cc8,9d3,37b,56d,37c,9d4,cd0,357,984,ce8,73b,cf0,790,2f1,79a,3c5,4e1,bae,ba2,a26,39f,52b,bf2,0
3533,3533,0,a30,cb3,686,314,34b,5cc,c53,ae3,573,c1f,b27,455,6df,304,853,cfe,2fc,7ff,d02,8cb,cef,919,32e,61c,4d4,3d9,a7d,c89,b66,49b,40d,acd,0
3534,3534,0,8ae,d04,814,2ff,41c,485,b5b,bfc,440,b0e,c31,58c,86e,306,6c9,cc2,31b,679,ca5,a45,c76,a8c,3e1,4c4,629,328,909,cfa,c65,5e2,34c,967,0
3535,3535,0,722,cde,99b,357,543,38b,a0b,cb8,366,9b4,cd5,702,9ee,382,559,c07,3b3,512,bdc,b84,b9b,bbf,4f5,3b8,7b4,2f7,777,cef,cef,762,2fa,7dd,0
3536,3536,0,5af,c41,af8,433,6ab,30f,880,d03,300,82e,d01,895,b3c,46d,42f,af3,4b3,3f4,aae,c77,a5b,c95,64b,31c,941,335,5f7,c70,cfb,8ee,323,650,0
3537,3537,0,469,b3d,c12,55f,83b,301,6f6,cd2,30d,6a0,cb4,a12,c46,5b1,354,991,60b,345,93e,cf3,8e1,cf7,7d8,2f4,aab,3f3,4a5,b80,c9a,a68,3c5,4f8,0
3538,3538,0,387,9ea,cc7,6cf,9bd,36a,585,c2d,396,534,bf3,b5b,ce2,72c,2f9,805,77e,2fa,7b3,cfb,752,ce7,962,343,bd3,509,3a9,a3c,bc2,ba1,4d3,3dc,0
3539,3539,0,305,862,d02,859,b1d,44a,44f,b1d,48f,40e,ad9,c58,cfd,8c2,313,679,919,333,62e,c84,5cc,c5a,ad0,409,ca3,673,314,8b8,a90,c85,622,333,0
3540,3540,0,308,6d3,cc7,9e1,c2b,57e,36e,9c2,5d0,34e,970,ce3,ca6,a30,3ae,519,a86,3da,4d9,ba8,48b,b66,bee,536,d04,7ff,2f6,728,91b,cfa,7af,2fa,0
3541,3541,0,37c,565,c16,b3a,cd4,6f3,303,83c,754,2f9,7e5,cfb,bd9,b80,4a8,3f8,bb9,4f0,3cc,a6c,393,a12,cae,698,cdc,985,354,5b4,78d,cfc,938,33b,0
3542,3542,0,467,430,aff,c3b,cff,881,310,6b8,8e1,323,657,c96,ab2,c64,5f6,339,c9b,646,32b,8f9,30f,897,cfa,822,c43,ae7,429,473,60f,c78,aa4,3f7,0
3543,3543,0,5a4,360,9a3,cdd,cb8,a01,38e,547,a5b,3c0,4f7,bbf,944,cf0,773,2f5,d00,7c9,2fa,770,2fe,70b,cd5,9ae,b44,c09,54e,382,4b8,b87,bd7,50e,0
3544,3544,0,71e,2fa,81c,cff,bfc,b49,47b,420,b94,4bf,3e8,a90,7b8,cf5,900,32b,cf0,95a,34d,5ea,365,58f,c34,b08,9f0,cbe,6bb,303,3b3,a49,ca5,669,0
3545,3545,0,8a4,316,68f,cb1,ae6,c4c,5c4,354,c7e,610,32e,922,635,c83,a79,3ce,c65,ac7,409,4a1,43d,457,b26,c1e,875,d00,84f,300,322,8ce,d06,7f9,0
3546,3546,0,a21,3a4,523,bec,97a,ce6,73f,2f8,cf7,79e,2f9,792,4e0,baa,bac,4dd,b78,bec,529,3a3,568,375,9cf,cc6,6ea,cc4,9cd,375,2fe,741,ce7,97f,0
3547,3547,0,b6b,49b,402,ac6,7f7,d00,8cc,319,cf0,927,32f,616,3cd,a70,c8d,63b,a2f,cb3,694,318,6e5,302,847,cfc,573,c22,b28,458,354,5c6,c56,ae3,0
3548,3548,0,c64,5e2,342,95c,667,ca4,a46,3ac,c7b,a97,3e9,4b8,325,904,cf8,7c0,8ad,d02,81e,2fd,86e,300,6c3,cba,43c,b0c,c2c,58d,41d,489,b53,c05,0
3549,3549,0,cea,761,2f6,7cb,509,bce,b8a,4b3,b8f,bc7,501,3b9,2f9,76f,ced,94a,720,cdb,9a8,36c,9ee,383,552,c04,365,9a4,cd6,709,544,390,a02,cc0,0
3550,3550,0,cfd,8ef,327,642,3ec,aa9,c76,604,a53,ca0,664,31d,33f,5f1,c68,ab9,5a3,c3c,b04,43e,b42,46d,421,aeb,2f7,828,d00,897,6ba,310,888,d08,0
3551,3551,0,c96,a6a,3c6,4e4,337,935,cf4,787,8d5,cfa,7e8,2fb,3f9,4a3,b75,be3,467,b38,c18,56a,c43,5ae,359,988,312,69d,cb6,a0e,845,304,6f8,cd4,0
3552,3552,0,bb6,b9d,4d3,3d5,2f8,7a5,cf6,910,74b,ce3,974,34d,51c,3ac,a2b,caa,386,9e5,ccb,6d8,cdc,729,2fd,802,393,532,bef,b60,9cb,370,585,c33,0
3553,3553,0,a86,c87,62e,32b,330,623,c83,a8a,5cf,c57,ad5,418,685,319,8b0,cfe,308,864,d02,869,cf9,8b7,30d,673,489,40f,aca,c58,b1f,454,44f,b18,0
3554,3554,0,915,cfb,7a7,2f9,3dd,4cd,ba0,bc4,485,b55,bf8,537,808,2f5,72d,cdc,308,6cf,cc6,9e7,ca3,a36,3a8,511,5d2,342,966,ce2,c2c,58f,373,9c4,0
3555,3555,0,784,cf4,93d,33b,4ee,3ba,a61,c95,393,a10,cb3,69e,997,35a,5ac,c46,384,565,c14,b3e,bdc,b74,4a3,3ef,74d,2f7,7da,cfa,cd4,6fb,302,83a,0
3556,3556,0,600,c70,aa6,3f6,64c,31f,8ee,cf7,30a,894,cfd,82f,af5,42d,46d,b41,46f,432,b02,c43,ab1,c6f,5ef,33a,8df,31c,652,c8f,d02,88b,310,6b2,0
3557,3557,0,4ab,b7e,bd0,50a,7d5,2fa,75d,ce0,2fc,700,cca,9ba,c0c,55c,383,9ec,5ad,363,9a3,cdb,947,ce9,773,2f6,a4d,3be,4f8,bbc,cc0,a0c,395,547,0
3558,3558,0,3ac,a44,ca6,66e,963,347,5e1,c5b,36b,588,c2d,b1a,cc1,6c4,30c,866,723,2ff,815,d02,7bc,cf4,908,325,b97,4c3,3df,a92,bfc,b55,489,420,0
3559,3559,0,318,8c6,d00,7f2,ac2,408,492,b6d,446,457,b1d,c1e,d08,858,301,6de,8b0,318,68e,cb3,62e,c84,a7a,3c9,c81,614,32d,91a,ae3,c54,5ce,350,0
3560,3560,0,2fc,736,ce1,980,bf0,530,395,a22,573,377,9cc,ccd,cca,9d4,37f,56c,a2b,3a9,528,be9,4d2,ba3,bb2,4e3,cf3,798,2fb,78d,97f,ce7,748,300,0
3561,3561,0,34f,5c0,c4c,ae7,cb5,699,30f,89c,6ee,2fd,846,d02,c19,b32,461,43a,b79,4a2,401,ac5,3c6,a6f,c8f,636,cf1,925,32f,60e,7ef,d04,8d4,320,0
3562,3562,0,423,47d,b4c,c03,d06,81d,2fc,712,87d,306,6b9,cbe,b01,c34,5a2,363,c6c,5e7,34a,95a,321,8fc,cf2,7c0,c75,a95,3e6,4ba,668,c9c,a50,3bc,0
3563,3563,0,548,389,9fe,cbc,cd4,9a1,366,59c,9fb,38c,54a,c00,9a7,cd7,716,2f9,ce8,770,2f7,7cf,2f5,76d,ce4,94b,b90,bc5,4fd,3af,50c,bd5,b93,4b6,0
3564,3564,0,6bb,306,87c,d06,c34,b07,437,45d,b48,478,422,ae6,827,d03,89c,311,cfb,8fb,32e,643,334,5e9,c62,ab4,a46,c9b,65f,315,3f1,aa6,c7c,611,0
3565,3565,0,846,2fd,6ed,cd1,b38,c18,569,37d,c4a,5b8,354,986,693,caf,a28,3a0,c93,a73,3d3,4e9,3fe,4a1,b74,be0,8dd,cf9,7e3,2f4,33d,934,cf8,78f,0
3566,3566,0,9c6,36d,577,c1f,9d8,cce,6de,307,ce2,73a,2f9,7fa,52f,be8,b62,492,bb2,bab,4d8,3d8,51d,39e,a2d,ca6,743,ce0,974,34b,2fa,7a2,cf8,921,0
3567,3567,0,b25,44d,441,b12,85a,d06,86d,309,cfc,8c8,319,66e,408,aca,c64,5e2,a82,c87,631,32f,685,312,8b0,cfc,5cb,c58,ad8,413,335,625,c82,a93,0
3568,3568,0,c30,589,368,9b0,6c4,cc4,9e8,386,ca3,a44,3b7,50e,347,95c,ce8,75b,90e,cfa,7bb,2f8,809,2fc,71f,cdc,47e,b53,bf2,53a,3e7,4ce,ba2,bc5,0
3569,3569,0,cd1,6ff,2fe,833,559,c10,b40,46c,bd4,b7d,4b4,3f9,2fb,7d5,cfa,8e5,784,cf1,948,33f,995,35a,5a6,c3e,38e,a08,cba,6a4,4f6,3c3,a60,c9e,0
3570,3570,0,d06,88f,30c,6a4,42c,af1,c41,5ae,aad,c74,605,339,323,652,c94,a63,5fa,c6f,aa9,3f9,af8,42a,46b,b37,308,88e,cfc,82e,656,324,8e8,cff,0
3571,3571,0,cb8,a13,393,538,35d,992,cdc,721,936,cf0,785,2f7,3ca,4ee,bb9,b99,4b3,b82,bdd,50d,c0e,55b,37e,9eb,2f9,6f5,ccf,9b7,7dd,2fc,75d,ced,0
3572,3572,0,bf6,b58,485,40b,2fd,80b,cfb,8b8,7b2,cf8,913,32e,4ca,3de,a83,c7e,3b3,a45,ca7,674,cc5,6c8,303,867,36f,585,c31,b18,96b,34f,5da,c5d,0
3573,3573,0,ad6,c57,5d2,34b,314,67b,caa,a32,627,c85,a7d,3d5,626,32f,912,cf8,321,8c7,cfc,805,d00,854,303,6da,442,44e,b1c,c21,ad8,411,49b,b66,0
3574,3574,0,96d,ceb,74a,2fc,3a6,51f,be2,b78,4d2,ba1,bb4,4ed,7ad,2f8,784,cec,301,739,cde,98d,cc3,9dc,37e,565,57b,371,9c5,cd2,bf1,531,3a2,a23,0
3575,3575,0,7e4,cfd,8db,321,4a4,3f7,aba,c68,3c7,a66,c90,64a,932,339,606,c72,361,5bc,c4b,ae7,c18,b34,458,434,6ef,2fe,841,cfc,cb1,69d,313,8a4,0
3576,3576,0,65b,c99,a4f,3b7,5ef,33b,94f,cee,326,8f4,cf5,7cf,aa0,3ee,4af,b8d,42c,480,b49,c0d,af9,c3c,59d,35b,879,309,6b2,cbe,d02,82c,303,714,0
3577,3577,0,500,bc5,b8f,4c1,76f,2f8,7c0,cf8,2f7,762,ce9,95c,bcc,506,3b4,a46,550,38e,9fc,cbe,9a3,cd7,70d,2f8,9ff,38b,542,c00,cd5,9ae,370,598,0
3578,3578,0,3e3,a92,c79,614,8fe,329,634,c8f,348,5e3,c64,ac2,ca0,66a,315,8cd,6c4,30b,87a,d00,81f,cfa,8a1,30c,b50,47d,420,ae2,c38,b0c,43c,45f,0
3579,3579,0,334,92c,cf7,78e,a78,3d1,4e4,bae,40b,498,b6c,be7,d01,7f5,2f9,73f,851,309,6ed,ccf,68e,caf,a20,39d,c48,5b8,350,980,b34,c20,573,37d,0
3580,3580,0,2fb,799,cf7,91f,baf,4d9,3d1,a76,525,39a,a22,caa,cdc,97b,34f,5c5,9cd,37f,57d,c1d,526,bdc,b63,48d,ce6,739,2f4,7f7,9d4,cce,6e7,30b,0
3581,3581,0,337,61d,c78,a9c,c8a,63b,329,900,68f,312,8a9,d07,c52,ae8,426,479,b28,458,444,b10,401,ac4,c64,5d9,d01,8c6,314,66b,855,d04,875,310,0
3582,3582,0,3e6,4c8,b96,bca,cf3,7ba,2f4,771,81a,2fd,716,cd5,b4f,bfc,545,38d,c37,58f,36c,9b4,340,955,ce6,75d,c9c,a3e,3b1,508,6ca,cc4,9f1,38b,0
3583,3583,0,4f7,3b7,a55,c9b,cea,945,342,5fa,9a1,360,59f,c3c,9ff,cb8,6b0,301,cd9,709,2fc,82a,2f4,7d3,cf6,8ef,bcf,b8b,4b4,3ed,55c,c0a,b45,478,0
3584,3584,0,658,31d,8db,d00,c67,ab4,403,4a4,aff,432,462,b33,884,cfb,843,2ff,d02,894,314,69c,326,64a,c8d,a62,aa7,c73,5ff,337,427,af8,c48,5ba,0
3585,3585,0,7e5,2f5,74e,ce4,b79,be2,517,3a6,c15,567,379,9e2,6f3,ccb,9c4,36e,cbe,a1b,39d,53e,3c4,4e7,bb7,b9c,938,cee,782,2f3,35e,996,ce1,731,0
3586,3586,0,96e,34a,5d4,c5c,a2f,ca7,67b,317,cc6,6d5,2fd,85b,586,c28,b1c,44f,bf7,b69,492,410,4cc,3d8,a85,c82,7a4,cf6,90b,326,2fe,807,cfd,8c4,0
3587,3587,0,ad4,40f,48b,b62,8b4,d04,809,2fa,cff,864,302,6cf,448,b16,c22,585,ad6,c62,5d7,355,623,32e,912,cf0,626,c83,a80,3d6,31a,67f,cad,a3d,0
3588,3588,0,bf3,53a,390,a15,731,cd8,991,359,cc0,9e2,37c,55c,36e,9c0,cd7,6fb,974,ce8,756,2fb,7a4,2ef,781,cf4,4d1,ba4,bbc,4e6,3ae,518,bdc,b7d,0
3589,3589,0,cb6,6a1,30b,892,5b3,c47,af0,42a,c15,b37,467,42f,303,837,cf7,886,7e3,cfd,8e7,324,932,332,601,c70,3c3,a66,c92,644,4af,3ff,ab9,c70,0
3590,3590,0,cfe,82f,2fc,707,46f,b49,c0a,551,af9,c41,5a7,360,30a,6ae,cb8,a06,65f,c97,a5c,3bb,a9d,3eb,4ae,b86,31e,8ef,cf0,7d1,5fd,347,94c,cf0,0
3591,3591,0,cd1,9b2,36e,58e,381,9f3,cc3,6cb,99b,cdb,721,2fd,391,541,bfb,b58,501,bc7,b9c,4ca,bd2,507,3ae,a40,2f1,75e,cef,94f,77e,2f6,7ba,cfd,0
3592,3592,0,c32,b0c,44a,451,309,86e,d00,84f,809,cfd,8af,312,483,419,ade,c4f,3dd,a96,c80,619,c9e,665,31a,8c7,33c,5dc,c5c,abc,907,331,63b,c8b,0
3593,3593,0,b28,c1e,575,373,307,6e6,ccb,9da,687,ca5,a2a,3a7,5ca,34c,975,cde,336,927,cfd,79e,cfe,7f4,2f2,73c,403,498,b63,be9,a77,3d3,4dd,bb4,0
3594,3594,0,9cd,ccc,6e8,2ff,377,56b,c22,b2c,522,be6,b6e,4a4,747,2f7,7eb,cf9,2f8,79a,d01,92f,cdf,97d,351,5bc,51e,397,a20,ca8,bb6,4de,3ca,a77,0
3595,3595,0,848,d00,878,309,459,437,b0c,c3d,400,ab8,c67,5e9,8d3,319,660,c98,336,618,c83,aa1,c49,ae0,41c,479,68c,30c,8a6,d02,c8f,641,32f,904,0
3596,3596,0,6c2,cbf,9f7,389,599,364,9ac,cd8,33e,957,cee,76b,a48,3b5,504,bca,3eb,4c4,b96,bcb,b4c,bfc,545,385,816,2fa,71b,cd9,cfc,7c6,2fe,772,0
3597,3597,0,553,c09,b4b,475,712,2fc,824,d02,2f6,7cb,cf7,8fc,b87,4bc,3f0,a9c,507,3b4,a55,c9c,9f8,cbc,6a9,308,9a2,35e,59b,c37,cf0,956,341,5f6,0
3598,3598,0,422,aeb,c52,5bc,89b,315,694,cb3,323,649,c93,a6b,c7a,60a,337,932,664,320,8de,d03,889,cfe,836,302,b01,437,452,b2e,c6d,ab8,404,4a3,0
3599,3599,0,355,98b,cdd,736,a1a,399,52d,bf0,3ce,4e1,bae,ba1,cf3,791,2f0,79b,7ea,2f5,74f,ce8,6ef,ccc,9c2,36a,c17,562,37a,9d8,b73,be3,522,3a5,0
3600,3600,0,2fd,7fd,cfc,8c4,b60,495,40a,ad1,4d8,3d3,a7b,c84,cf7,91e,32e,61b,978,352,5cf,c5a,57f,c1c,b1b,44f,ccb,6d8,304,85b,a34,cad,686,315,0
3601,3601,0,31b,679,ca4,a3b,c5a,5db,34c,963,630,328,909,cf5,c7b,a94,3e9,4c5,ad8,41c,48b,b59,448,b1a,c2c,586,d02,863,2ff,6c9,8b6,cff,80f,2fe,0
3602,3602,0,3ac,50d,bdc,b83,ce7,759,2f7,7d8,7bb,2f9,778,cf1,b9a,bc3,4f2,3bd,bfd,53e,390,a13,366,9ba,ccf,702,cbe,9e4,37e,559,727,ce1,998,362,0
3603,3603,0,4b1,3ed,ab2,c71,cfc,8e8,31f,652,943,342,5fa,c72,a57,c99,653,31f,cc0,6a8,311,88d,2fe,82c,d04,889,c0f,b3c,465,429,5ad,c48,aff,433,0
3604,3604,0,600,339,946,cf3,c93,a5d,3c5,4f7,ab0,3f2,4a7,b78,8e7,cf9,7d9,2f7,d03,839,308,703,30e,6a5,cb3,a06,af6,c3c,5a2,355,473,b42,c12,55c,0
3605,3605,0,77c,2f8,7b4,cfb,bc0,b96,4cb,3df,bd5,514,3af,a3c,755,ce3,966,349,cd6,9bc,36a,593,393,53c,bfa,b55,995,cd5,725,2f9,382,9f4,cce,6cb,0
3606,3606,0,904,32f,632,c8a,a8c,c81,61a,32e,ca4,677,31d,8c0,5d8,c59,ad1,40b,c30,b19,44e,453,481,413,ad8,c4f,80b,cfe,8b1,313,307,86d,d04,860,0
3607,3607,0,a7b,3dc,4d9,baa,91f,cf1,7ab,2f5,d01,804,2fa,72f,490,b64,bf3,531,b27,c29,585,378,5c8,348,96c,ce7,686,ca8,a29,3a4,30b,6e3,cc9,9d8,0
3608,3608,0,bb2,4ef,3c6,a6b,78d,cf0,92f,332,cde,989,357,5b7,397,a1b,cb1,697,9cb,cd5,6f6,302,742,2f6,7e5,cfa,51c,be2,b71,497,384,56e,c1a,b30,0
3609,3609,0,c90,643,326,8f7,609,c79,aa3,3f0,c51,af0,426,471,315,898,d02,826,849,d08,884,313,8d0,31b,660,c9b,3fe,ab7,c64,5e7,45f,437,b08,c3c,0
3610,3610,0,cf8,7c3,2fd,765,4ba,b89,bcf,509,b46,c05,552,38c,2ff,70d,cd9,9b1,6b8,cbf,a02,393,a4d,3b6,4fa,bc5,33b,94d,cf1,768,5a5,366,9a7,cda,0
3611,3611,0,ced,953,344,5f1,3ae,a4a,ca1,666,9f8,cc2,6c1,306,36b,58f,c30,b09,551,c06,b4f,481,b8d,4b9,3e2,a9c,2f1,7c1,cfb,8f5,70f,301,828,d0c,0
3612,3612,0,c67,ac0,403,4a2,31b,8cc,cfc,7ed,877,cff,84d,303,439,45c,b2a,c19,422,ae7,c4e,5cc,c76,605,333,91f,322,63c,c88,a68,8a8,31a,695,cae,0
3613,3613,0,b6d,be7,526,39f,2f9,73f,cdf,974,6e6,ccb,9cf,377,571,374,9d3,ccc,357,984,ce6,73c,cec,78a,2ef,7a0,3c8,4e5,bb0,ba6,a21,3a7,532,bf1,0
3614,3614,0,a26,cae,68d,313,353,5ce,c58,adc,57a,c23,b28,45b,6e2,303,84f,d01,2fe,804,cff,8cd,cef,91b,32d,619,4d2,3cf,a76,c84,b6d,49c,40c,ad0,0
3615,3615,0,8a9,d00,810,2fb,421,47f,b57,c00,43e,b14,c32,598,874,308,6c9,cc4,322,674,ca7,a46,c78,a8c,3e0,4c4,635,326,902,cef,c5d,5e3,34d,962,0
3616,3616,0,71a,cd9,998,35d,53d,38c,a0c,cb7,365,9b5,cd3,708,9f4,386,556,c09,3b3,50c,bd6,b86,b9e,bbf,4f9,3c0,7b5,2f3,77a,ceb,cee,767,2fa,7d6,0
3617,3617,0,5ac,c3b,aff,434,6b5,312,883,cff,2ff,82f,d02,897,b44,471,42c,af5,4b4,3ed,aab,c76,a59,c9e,650,31a,93e,334,5f3,c67,d03,8e8,329,652,0
3618,3618,0,468,b3a,c1a,566,83f,2fd,6fc,ccc,311,6a2,cbc,a14,c48,5b3,355,98f,607,33b,93b,cf5,8db,cf2,7de,2f4,aac,3f6,4ad,b77,c97,a6e,3c5,4f2,0
3619,3619,0,37b,9eb,cc2,6cf,9c6,376,589,c2b,399,537,bf4,b62,cdd,72f,2f8,807,789,300,7af,cfa,753,ce6,962,343,bd9,50f,3ab,a36,bbc,b9d,4cf,3db,0
3620,3620,0,302,865,cff,859,b12,445,449,b1e,491,40f,acf,c5b,cfb,8b8,31a,67b,919,333,62f,c8c,5c8,c55,acc,413,ca8,677,310,8bc,a88,c85,62f,330,0
3621,3621,0,304,6d3,cc4,9e3,c25,581,371,9bb,5d1,34b,968,ce3,ca5,a32,3a7,515,a84,3d8,4db,ba4,487,b66,bf2,531,d02,803,2f5,726,913,cf6,7b1,2f9,0
3622,3622,0,382,567,c14,b35,cce,6f5,304,83d,750,2f5,7e0,cf8,be3,b79,4a2,3f8,bc0,4ef,3c7,a6c,393,a19,cac,696,cde,989,350,5a8,790,cef,93d,33b,0
3623,3623,0,467,433,afc,c3b,cff,87d,307,6b0,8e0,323,657,c95,ab3,c6f,5ef,33d,c9a,645,32b,8f6,30e,894,d03,821,c40,aea,422,46f,611,c7a,aab,3f0,0
3624,3624,0,5a4,357,99e,cdb,cb8,a04,38b,544,a5a,3c2,4f9,bc0,948,cf2,776,2f1,cfb,7d3,2f9,76a,2f9,709,cd2,9a6,b46,c0c,551,380,4bb,b8c,bd1,50e,0
3625,3625,0,721,2f7,812,cfa,bfc,b55,47b,41a,b95,4c4,3e9,a95,7b9,cf5,904,328,ceb,960,34a,5eb,367,58b,c2e,b0b,9f4,cbc,6c1,308,3bb,a4c,ca7,66e,0
3626,3626,0,8a7,314,689,cae,ae0,c52,5c9,34d,c81,61f,331,92a,634,c8b,a7b,3cd,c68,ac8,404,49c,43a,451,b28,c28,872,cfd,84e,2fd,31f,8d2,d02,7f6,0
3627,3627,0,a26,3a1,527,bec,97e,ce0,742,2fc,cf8,7a1,2f5,797,4d9,bad,bb1,4e7,b75,be9,529,3a0,56a,372,9d3,cc4,6ea,cc5,9ce,375,2fc,745,ce2,981,0
3628,3628,0,b6e,49c,403,ac3,7f0,cfb,8d3,315,cef,926,332,612,3cd,a70,c8c,642,a28,cb3,696,319,6dd,2fe,84c,d02,574,c18,b25,456,35f,5c0,c50,aea,0
3629,3629,0,c63,5e9,347,959,66c,ca1,a46,3b7,c73,a9b,3eb,4bb,329,8f9,cf4,7c1,8a9,d02,820,304,86e,306,6b6,cbb,431,b09,c32,594,41f,485,b56,c09,0
3630,3630,0,cee,766,2f7,7cc,505,bc9,b8c,4b5,b8c,bc7,4fe,3b8,2f6,771,cee,94c,71c,cd8,9a3,366,9f1,383,54c,c07,363,9ad,cd5,709,54c,391,a03,cc0,0
3631,3631,0,cfc,8f3,327,645,3ea,aa3,c75,60e,a57,c9b,65b,31e,33c,5ec,c68,ab5,5a9,c3a,afc,439,b44,46e,425,af1,2fe,823,cfc,899,6b8,305,888,d04,0
3632,3632,0,c90,a69,3c2,4ea,338,936,cf0,783,8d9,cfe,7ea,2f4,400,4a0,b73,bdc,464,b3c,c20,569,c47,5af,352,988,30c,69b,cbb,a13,843,307,6f4,cd1,0
3633,3633,0,bb0,ba3,4d7,3d6,2f8,7a7,cf7,918,749,ce3,976,349,51b,3a0,a30,caa,380,9e4,cce,6dd,cde,731,2f8,802,395,52f,bf0,b63,9ca,379,589,c2e,0
3634,3634,0,a7f,c88,62e,32e,337,61d,c7c,a87,5cc,c59,add,41a,67e,313,8b5,cfd,309,85c,d07,86b,cff,8bd,317,675,484,40c,aca,c58,b22,453,44c,b17,0
3635,3635,0,911,cf7,7ad,2f9,3e2,4c9,b98,bbc,486,b59,bf4,53c,809,2f7,722,cda,305,6d0,cc7,9ec,ca2,a39,3a8,50d,5d8,340,95e,ce3,c32,58b,36b,9bb,0
3636,3636,0,782,cf0,941,33c,4f1,3c2,a5d,c92,393,a0f,cb3,6a4,995,357,5ac,c40,385,562,c12,b3b,bd5,b7b,4a7,3ee,751,2ef,7de,cfa,cd7,6fb,306,836,0
3637,3637,0,5fc,c70,aae,3f6,64d,31e,8e7,cf8,310,892,d04,833,af6,42f,46d,b3b,46c,436,afc,c44,aac,c6c,5f2,337,8d8,31b,64f,c98,d04,88a,310,6a7,0
3638,3638,0,4b0,b7e,bd9,512,7d9,2f4,758,ce8,300,6fa,cd1,9b6,c0a,562,384,9eb,5b0,35f,9a2,cdc,944,ce9,77a,2f1,a5a,3b9,4f5,bc0,cbf,a0c,390,53c,0
3639,3639,0,3aa,a3d,ca9,673,95c,349,5db,c5c,36b,588,c2c,b11,cca,6ce,304,867,723,301,81d,d07,7b4,cf4,908,323,b95,4c1,3d9,a8d,bfe,b5c,487,41d,0
3640,3640,0,313,8c0,cfd,7fd,aca,407,48f,b6a,44b,458,b24,c26,d00,858,303,6dc,8b3,31a,687,cb1,634,c86,a75,3cd,c7e,612,32a,920,adf,c60,5d0,352,0
